dataframe,params,accuracy,auc
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 11, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'diag', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",,
train_df_all_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'gauss', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_15', 'covariance_type': 'full', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.46658615136876
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 12, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'tied', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",,
train_df_all_features_50,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 6, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_50', 'covariance_type': 'spherical', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",,
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 10, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'spherical', 'consequent_method': 'global_LSE', 'clustering_method': 'fst-pso'}",,
train_df_all_drop_features_10,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 7, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_drop_features_10', 'covariance_type': 'tied', 'consequent_method': 'normalized_means', 'clustering_method': 'fst-pso'}",0.46,0.536634460547504
train_df_all_drop_features_15,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 15, 'mf_shape': 'sigmoid', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_drop_features_15', 'covariance_type': 'full', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.3806360708534621
train_df_all_features_10_manual,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 20, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_manual', 'covariance_type': 'diag', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.41747181964573266
train_df_all_features_10_RFE,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 19, 'mf_shape': 'invgauss', 'merge_threshold': 1.0, 'm': 2.0, 'dataframe_name': 'train_df_all_features_10_RFE', 'covariance_type': 'tied', 'consequent_method': 'local_LSE', 'clustering_method': 'fst-pso'}",0.46,0.519927536231884
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 20, 'mf_shape': 'gauss2', 'merge_threshold': 1.0, 'm': 2.5, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'tied', 'consequent_method': 'global_LSE', 'clustering_method': 'fst-pso'}",,
train_df_all_features_20,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 20, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_20', 'covariance_type': 'diag', 'consequent_method': 'global_LSE', 'clustering_method': 'fst-pso'}",0.54,0.5205314009661836
train_df_all_features_10_PRS,"{'sample_size': 500, 'random_state': 2024, 'nr_clus': 16, 'mf_shape': 'trimf', 'merge_threshold': 1.0, 'm': 1.5, 'dataframe_name': 'train_df_all_features_10_PRS', 'covariance_type': 'diag', 'consequent_method': 'normalized_means', 'clustering_method': 'fst-pso'}",0.46,0.4194847020933977
